ID,Name,Team,Role,Season
WhisKe0,Ken Whisenhunt,crd,Coach,2008
HaleTo0,Todd Haley,crd,Offensive Coordinator,2008
PendCl0,Clancy Pendergast,crd,Defensive Coordinator,2008
MillMi0,Mike Miller,crd,Other Notable Asst.,2008
SmitMi0,Mike Smith,atl,Coach,2008
MulaMi0,Mike Mularkey,atl,Offensive Coordinator,2008
VanGBr0,Brian VanGorder,atl,Defensive Coordinator,2008
RobiTe0,Terry Robiskie,atl,Other Notable Asst.,2008
HarbJo0,John Harbaugh,rav,Coach,2008
CameCa0,Cam Cameron,rav,Offensive Coordinator,2008
RyanRe0,Rex Ryan,rav,Defensive Coordinator,2008
PettMi0,Mike Pettine,rav,Other Notable Asst.,2008
JaurDi0,Dick Jauron,buf,Coach,2008
SchoTu0,Turk Schonert,buf,Offensive Coordinator,2008
FewePe0,Perry Fewell,buf,Defensive Coordinator,2008
VanPAl0,Alex Van Pelt,buf,Other Notable Asst.,2008
FoxxJo0,John Fox,car,Coach,2008
DaviJe0,Jeff Davidson,car,Offensive Coordinator,2008
TrgoMi0,Mike Trgovac,car,Defensive Coordinator,2008
McCoMi1,Mike McCoy,car,Other Notable Asst.,2008
SmitLo0,Lovie Smith,chi,Coach,2008
TurnRo0,Ron Turner,chi,Offensive Coordinator,2008
BabiBo0,Bob Babich,chi,Defensive Coordinator,2008
WilkSt0,Steve Wilks,chi,Other Notable Asst.,2008
LewiMa0,Marvin Lewis,cin,Coach,2008
BratBo0,Bob Bratkowski,cin,Offensive Coordinator,2008
ZimmMi0,Mike Zimmer,cin,Defensive Coordinator,2008
ZampKe0,Ken Zampese,cin,Other Notable Asst.,2008
CrenRo0,Romeo Crennel,cle,Coach,2008
ChudRo0,Rob Chudzinski,cle,Offensive Coordinator,2008
TuckMe0,Mel Tucker,cle,Defensive Coordinator,2008
LynnAn0,Anthony Lynn,cle,Other Notable Asst.,2008
PhilWa0,Wade Phillips,dal,Coach,2008
GarrJa0,Jason Garrett,dal,Offensive Coordinator,2008
StewBr0,Brian Stewart,dal,Defensive Coordinator,2008
SherRa0,Ray Sherman,dal,Other Notable Asst.,2008
ShanMi0,Mike Shanahan,den,Coach,2008
DennRi0,Rick Dennison,den,Offensive Coordinator,2008
SlowBo0,Bob Slowik,den,Defensive Coordinator,2008
FiscJe0,Jedd Fisch,den,Other Notable Asst.,2008
MariRo0,Rod Marinelli,det,Coach,2008
CollJi0,Jim Colletto,det,Offensive Coordinator,2008
BarrJo0,Joe Barry,det,Defensive Coordinator,2008
BrowKi0,Kippy Brown,det,Other Notable Asst.,2008
McCaMi0,Mike McCarthy,gnb,Coach,2008
PhilJo0,Joe Philbin,gnb,Offensive Coordinator,2008
SandBo0,Bob Sanders,gnb,Defensive Coordinator,2008
McAdBe0,Ben McAdoo,gnb,Other Notable Asst.,2008
KubiGa0,Gary Kubiak,htx,Coach,2008
ShanKy0,Kyle Shanahan,htx,Offensive Coordinator,2008
SmitRi0,Richard Smith,htx,Defensive Coordinator,2008
SaleRo0,Robert Saleh,htx,Other Notable Asst.,2008
DungTo0,Tony Dungy,clt,Coach,2008
MoorTo0,Tom Moore,clt,Offensive Coordinator,2008
MeekRo0,Ron Meeks,clt,Defensive Coordinator,2008
WillAl0,Alan Williams,clt,Other Notable Asst.,2008
DelRJa0,Jack Del Rio,jax,Coach,2008
KoetDi0,Dirk Koetter,jax,Offensive Coordinator,2008
WillGr0,Gregg Williams,jax,Defensive Coordinator,2008
ShulMi0,Mike Shula,jax,Other Notable Asst.,2008
EdwaHe0,Herm Edwards,kan,Coach,2008
GailCh0,Chan Gailey,kan,Offensive Coordinator,2008
CunnGu0,Gunther Cunningham,kan,Defensive Coordinator,2008
ModkCu0,Curtis Modkins,kan,Other Notable Asst.,2008
TurnNo0,Norv Turner,sdg,Coach,2008
ShelCl0,Clarence Shelmon,sdg,Offensive Coordinator,2008
RiveRo0,Ron Rivera,sdg,Defensive Coordinator,2008
PagaJo0,John Pagano,sdg,Other Notable Asst.,2008
HaslJi0,Jim Haslett,ram,Coach,2008
SaunAl0,Al Saunders,ram,Offensive Coordinator,2008
VentRi0,Rick Venturi,ram,Defensive Coordinator,2008
DownTo0,Todd Downing,ram,Other Notable Asst.,2008
SparTo0,Tony Sparano,mia,Coach,2008
HennDa0,Dan Henning,mia,Offensive Coordinator,2008
PasqPa0,Paul Pasqualoni,mia,Defensive Coordinator,2008
RodgKa0,Kacy Rodgers,mia,Other Notable Asst.,2008
ChilBr0,Brad Childress,min,Coach,2008
BeveDa0,Darrell Bevell,min,Offensive Coordinator,2008
FrazLe0,Leslie Frazier,min,Defensive Coordinator,2008
WoodJo0,Joe Woods,min,Other Notable Asst.,2008
BeliBi0,Bill Belichick,nwe,Coach,2008
McDaJo0,Josh McDaniels,nwe,Offensive Coordinator,2008
PeesDe0,Dean Pees,nwe,Defensive Coordinator,2008
PatrMa0,Matt Patricia,nwe,Other Notable Asst.,2008
PaytSe0,Sean Payton,nor,Coach,2008
MarrDo0,Doug Marrone,nor,Offensive Coordinator,2008
GibbGa0,Gary Gibbs,nor,Defensive Coordinator,2008
LombJo0,Joe Lombardi,nor,Other Notable Asst.,2008
CougTo0,Tom Coughlin,nyg,Coach,2008
GilbKe0,Kevin Gilbride,nyg,Offensive Coordinator,2008
SpagSt0,Steve Spagnuolo,nyg,Defensive Coordinator,2008
SullMi0,Mike Sullivan,nyg,Other Notable Asst.,2008
MangEr0,Eric Mangini,nyj,Coach,2008
SchoBr0,Brian Schottenheimer,nyj,Offensive Coordinator,2008
SuttBo0,Bob Sutton,nyj,Defensive Coordinator,2008
ThurDe0,Dennis Thurman,nyj,Other Notable Asst.,2008
CablTo0,Tom Cable,rai,Coach,2008
KnapGr0,Greg Knapp,rai,Offensive Coordinator,2008
RyanRo0,Rob Ryan,rai,Defensive Coordinator,2008
MartDo0,Don Martindale,rai,Other Notable Asst.,2008
ReidAn0,Andy Reid,phi,Coach,2008
MornMa0,Marty Mornhinweg,phi,Offensive Coordinator,2008
JohnJi1,Jim Johnson,phi,Defensive Coordinator,2008
ShurPa0,Pat Shurmur,phi,Other Notable Asst.,2008
TomlMi0,Mike Tomlin,pit,Coach,2008
AriaBr0,Bruce Arians,pit,Offensive Coordinator,2008
LeBeDi0,Dick LeBeau,pit,Defensive Coordinator,2008
HortRa0,Ray Horton,pit,Other Notable Asst.,2008
SingMi0,Mike Singletary,sfo,Coach,2008
MartMi0,Mike Martz,sfo,Offensive Coordinator,2008
ManuGr0,Greg Manusky,sfo,Defensive Coordinator,2008
TomsJi0,Jim Tomsula,sfo,Other Notable Asst.,2008
HolmMi0,Mike Holmgren,sea,Coach,2008
HaskGi0,Gil Haskell,sea,Offensive Coordinator,2008
MarsJo0,John Marshall,sea,Defensive Coordinator,2008
LazoBi0,Bill Lazor,sea,Other Notable Asst.,2008
GrudJo0,Jon Gruden,tam,Coach,2008
MuirBi0,Bill Muir,tam,Offensive Coordinator,2008
KiffMo0,Monte Kiffin,tam,Defensive Coordinator,2008
WashTo0,Todd Wash,tam,Other Notable Asst.,2008
FishJe0,Jeff Fisher,oti,Coach,2008
HeimMi0,Mike Heimerdinger,oti,Offensive Coordinator,2008
SchwJi0,Jim Schwartz,oti,Defensive Coordinator,2008
MuncMi0,Mike Munchak,oti,Other Notable Asst.,2008
ZornJi0,Jim Zorn,was,Coach,2008
SmitSh0,Sherman Smith,was,Offensive Coordinator,2008
BlacGr0,Greg Blache,was,Defensive Coordinator,2008
GrayJe0,Jerry Gray,was,Other Notable Asst.,2008
