team,opp,opp_pts,opp_pass_yards,opp_rush_yards,def_align,after_bye,dline_pass,dline_rush,opp_oline_pass,opp_oline_rush,gametime,gameday,roof,surface,temp,rel_hum,wind,wind_chill,def_pass_rank,def_rush_rank,opp_pass_rank,opp_rush_rank,sacks,forced_fumbles,interceptions,tds,tackles,time_onfield
crd,sfo,24,217,119,4-3,False,24,17,31,8,20:40,Monday,retractable roof (open),grass,,,,,26,13,13,27,0.0,0,2,0,90,28.383333333333333
atl,nor,20,416,105,4-3,False,10,19,2,5,13:03,Sunday,dome,fieldturf,,,,,17,25,1,28,1.0,1,3,1,91,28.8
rav,htx,13,280,75,3-4,False,15,1,16,10,13:02,Sunday,retractable roof (open),grass,,,,,2,1,4,13,5.0,0,4,0,90,23.85
buf,nwe,20,226,144,4-3,False,28,8,26,3,13:02,Sunday,outdoors,fieldturf,54,43,,0,22,21,12,6,3.0,1,2,0,93,37.666666666666664
car,rai,6,112,147,4-3,True,5,24,30,25,16:05,Sunday,outdoors,grass,62,59,,0,8,24,32,10,7.0,3,6,0,88,37.03333333333333
chi,oti,21,284,20,4-3,False,27,2,3,20,13:02,Sunday,outdoors,grass,37,63,,28,9,5,27,7,3.0,0,1,0,97,33.266666666666666
cle,den,34,441,123,3-4,False,30,31,4,1,20:15,Thursday,outdoors,grass,56,52,,0,16,23,3,12,1.0,1,1,0,97,27.85
den,cle,30,239,160,4-3,False,19,23,7,22,20:15,Thursday,outdoors,grass,56,52,,0,31,29,31,26,1.0,1,1,0,97,32.15
det,jax,38,227,157,4-3,False,11,29,24,12,13:02,Sunday,dome,fieldturf,,,,,32,31,15,18,8.0,1,1,0,75,30.983333333333334
gnb,min,28,141,220,4-3,False,21,28,28,17,13:05,Sunday,dome,fieldturf,,,,,7,27,25,5,7.0,3,3,1,83,36.083333333333336
htx,rav,41,171,162,4-3,False,23,30,20,16,13:02,Sunday,retractable roof (open),grass,,,,,25,30,28,4,5.0,0,4,0,90,36.15
clt,pit,20,271,55,4-3,False,22,21,29,26,16:15,Sunday,outdoors,dessograss,44,60,11,,12,18,17,23,4.0,1,3,0,82,34.083333333333336
jax,det,14,153,103,4-3,False,14,9,32,31,13:02,Sunday,dome,fieldturf,,,,,29,9,24,30,8.0,1,1,0,75,29.016666666666666
kan,sdg,20,308,92,4-3,False,32,26,17,15,16:15,Sunday,outdoors,grass,62,61,,0,28,26,7,20,3.0,1,2,0,96,34.833333333333336
sdg,kan,19,263,76,3-4,True,20,25,21,28,16:15,Sunday,outdoors,grass,62,61,,0,20,20,20,16,3.0,1,2,0,96,25.166666666666668
ram,nyj,47,167,206,4-3,False,16,32,19,2,13:03,Sunday,outdoors,fieldturf,53,46,,0,27,32,16,9,2.0,3,2,1,86,37.05
mia,sea,19,172,126,3-4,False,13,13,22,27,13:03,Sunday,outdoors,grass,78,71,,0,15,19,29,19,5.5,0,1,1,88,28.116666666666667
min,gnb,27,110,74,4-3,False,2,4,14,19,13:05,Sunday,dome,fieldturf,,,,,5,4,8,17,7.0,3,3,1,83,23.916666666666668
nwe,buf,10,108,60,3-4,False,17,16,25,14,13:02,Sunday,outdoors,fieldturf,54,43,,0,24,11,22,14,3.0,1,2,0,93,22.333333333333332
nor,atl,34,248,113,4-3,True,25,22,5,9,13:03,Sunday,dome,fieldturf,,,,,23,22,14,2,1.0,1,3,1,91,31.2
nyg,phi,31,194,106,4-3,False,8,3,6,13,20:23,Sunday,outdoors,grass,48,63,5,,10,12,6,22,1.0,4,2,0,90,20.833333333333332
nyj,ram,3,120,80,3-4,False,12,10,23,29,13:03,Sunday,outdoors,fieldturf,53,46,,0,18,7,26,25,2.0,3,2,1,86,22.95
rai,car,17,57,162,4-3,False,6,27,9,7,16:05,Sunday,outdoors,grass,62,59,,0,13,28,19,3,7.0,3,6,0,88,22.966666666666665
phi,nyg,36,182,219,4-3,False,4,5,10,4,20:23,Sunday,outdoors,grass,48,63,5,,3,3,18,1,1.0,4,2,0,90,39.166666666666664
pit,clt,24,228,62,3-4,False,3,7,1,23,16:15,Sunday,outdoors,dessograss,44,60,11,,1,2,5,31,4.0,1,3,0,82,25.916666666666668
sfo,crd,29,328,46,3-4,True,26,11,8,30,20:40,Monday,retractable roof (open),grass,,,,,21,16,2,32,0.0,0,2,0,90,31.616666666666667
sea,mia,21,206,155,4-3,False,18,18,12,11,13:03,Sunday,outdoors,grass,78,71,,0,30,17,10,11,5.5,0,1,1,88,31.883333333333333
oti,chi,14,165,78,4-3,False,9,6,11,24,13:02,Sunday,outdoors,grass,37,63,,28,4,6,21,24,3.0,0,1,0,97,26.733333333333334
